"time","delta1","delta2","delta3","intPrecip","lowDepthQF","exDeltaQF","missingWireInfoQF","gapQF","priorDepthQF","overflowQF","inletHeaters1QM","inletHeaters2QM","inletHeaters3QM","adjPrecip","gaugeNoiseQF","radjPrecip","wireNoiseQF","roundedPrecip","detectablePrecip","finalPrecip"
2012-01-15 10:55:00,-0.0760940212400101,0.0526339092052694,0.00899355964384085,-0.00152436984196419,0,0,0,0,0,0,0,0,0,-0.00152436984196419,0,0,1,0,0,0
2012-01-15 11:00:00,-0.142469844790185,0.0503491014226256,0.0123918037277235,-0.00463693031422424,0,0,0,0,0,0,0,0,0,-0.00463693031422424,0,0,1,0,0,0
2012-01-15 11:05:00,0.184066264136277,-0.122014315550359,-0.0313096597770937,-0.0151685375870767,0,0,0,0,0,0,0,0,0,-0.0151685375870767,0,0,1,0,0,0
2012-01-15 11:10:00,-0.231881526336906,-0.0232230902927313,0.0274650161036334,-0.0237798855816642,0,0,0,0,0,0,0,0,0,-0.0237798855816642,0,0,1,0,0,0
2012-01-15 11:15:00,0.128424868664865,0.105994863244064,-0.00551999571234774,0.037920976636164,0,0,0,0,0,0,0,0,0,0.037920976636164,0,0,1,0,0,0
2012-01-15 11:20:00,0.00497339193634616,-0.135206775606889,0.000302656577446214,-0.025910706131116,0,0,0,0,0,0,0,0,0,-0.025910706131116,0,0,1,0,0,0
2012-01-15 11:25:00,-0.16321277184943,0.157793367374211,0.00717427747008514,0.0100913929510855,0,0,0,0,0,0,0,0,0,0.0100913929510855,0,0,1,0,0,0
2012-01-15 11:30:00,0.28683035697145,-0.0250699780779087,-0.0195386020174055,0.0279866662027431,0,0,0,0,0,0,0,0,0,0.0279866662027431,0,0,1,0,0,0
2012-01-15 11:35:00,-0.154292911727225,-0.148794979376589,0.0389893368096637,-0.0290404435930012,0,0,0,0,0,0,0,0,0,-0.0290404435930012,0,0,1,0,0,0
2012-01-15 11:40:00,0.0288834944885821,0.0104100923870192,-0.0297837807905807,-0.0124772570449723,0,0,0,0,0,0,0,0,0,-0.0124772570449723,0,0,1,0,0,0
2012-01-15 11:45:00,0.172918454252567,-0.118807065321562,0.0083661758657172,0.00918669148931812,0,0,0,0,0,0,0,0,0,0.00918669148931812,0,0,1,0,0,0
2012-01-15 11:50:00,-0.0758473481489546,0.243410275389238,-0.00662800399004482,0.032121842928167,0,0,0,0,0,0,0,0,0,0.032121842928167,0,0,1,0,0,0
2012-01-15 11:55:00,-0.0745106108029177,0.0232915069340152,-9.98609266389394e-07,-0.00719363853323746,0,0,0,0,0,0,0,0,0,-0.00719363853323746,0,0,1,0,0,0
2012-01-15 12:00:00,0.062219447539519,-0.113669582863167,0.00643388913385934,-0.00801500708732275,0,0,0,0,0,0,0,0,0,-0.00801500708732275,0,0,1,0,0,0
