"time","Freq1","Freq2","Freq3","orificeHeater","gapQF","stab1","stab2","stab3"
"15-Jan-12 12.32.00.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.32.10.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.32.20.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.32.30.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.32.40.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.32.50.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.00.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.10.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.20.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.30.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.40.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.33.50.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.00.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.10.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.20.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.30.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.40.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.34.50.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.35.00.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.35.10.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
"15-Jan-12 12.35.20.000 AM",7292.25024114425,7210.12126258198,7572.22655486984,"000",0,1,1,1
